"","Site","RCP","Period","Rgroup","GCM","M.Bmass","SD.Bmass","Med.Bmass","MAT","MAP","Site_Type"
"1",1,"RCP45","Late","a.forb","bcc-csm1-1",6.51223095,0.207430536712111,6.490932,6.28278973,408.7581009,"past"
"2",1,"RCP45","Late","a.forb","CanESM2",6.44889138,0.140800385876752,6.43021575,7.85425396,495.01490048,"past"
"3",1,"RCP45","Late","a.forb","CCSM4",6.49525245,0.172147833910329,6.5038685,7.09344419,450.19249971,"past"
"4",1,"RCP45","Late","a.forb","CNRM-CM5",6.447636965,0.181799820826012,6.402414,6.90349517,498.07019929,"past"
"5",1,"RCP45","Late","a.forb","CSIRO-Mk3-6-0",6.44843006,0.177586323901367,6.472188,7.07479132,490.06819762,"past"
"6",1,"RCP45","Late","a.forb","GFDL-ESM2G",6.651938075,0.264277161936294,6.7065285,5.91296182,549.00060118,"past"
"7",1,"RCP45","Late","a.forb","GFDL-ESM2M",6.085141465,0.124969037498152,6.09530475,5.5339798,469.64880002,"past"
"8",1,"RCP45","Late","a.forb","HadGEM2-CC365",6.434102815,0.183059075251756,6.407776,7.34430677,444.9232007,"past"
"9",1,"RCP45","Late","a.forb","HadGEM2-ES365",6.433655625,0.191155246942662,6.46235925,8.12044599,440.1242996,"past"
"10",1,"RCP45","Late","a.forb","inmcm4",6.590667415,0.139472401027035,6.60365175,5.96417279,422.32989965,"past"
"11",1,"RCP45","Late","a.forb","IPSL-CM5A-LR",5.484038155,0.225010525009172,5.44287475,7.25579591,425.40799989,"past"
"12",1,"RCP45","Late","a.forb","IPSL-CM5A-MR",6.14871546,0.194248111207105,6.19215825,7.3693076,432.50219996,"past"
"13",1,"RCP45","Late","a.forb","MIROC-ESM",6.197682335,0.169292100137133,6.2051905,8.87435546,526.77650358,"past"
"14",1,"RCP45","Late","a.forb","MIROC-ESM-CHEM",6.19318906,0.185127194457708,6.2339625,8.67475441,524.52099853,"past"
"15",1,"RCP45","Late","a.forb","MIROC5",6.689734575,0.131165531354349,6.69508075,7.73309294,471.90870055,"past"
"16",1,"RCP45","Late","a.forb","MRI-CGCM3",6.47600611,0.15253282934665,6.4944055,5.79391816,461.63559964,"past"
"17",1,"RCP45","Late","a.forb","NorESM1-M",5.68112075,0.14826465563225,5.6865605,7.32865287,476.76630095,"past"
"18",1,"RCP45","Late","p.cool.grass","bcc-csm1-1",70.69377844,3.93050351022135,71.201988,6.28278973,408.7581009,"past"
"19",1,"RCP45","Late","p.cool.grass","CanESM2",67.2899889,4.98363440827312,66.884224,7.85425396,495.01490048,"past"
"20",1,"RCP45","Late","p.cool.grass","CCSM4",71.41025206,3.63339057293841,70.9913865,7.09344419,450.19249971,"past"
"21",1,"RCP45","Late","p.cool.grass","CNRM-CM5",69.85656068,3.44448504611748,70.1975365,6.90349517,498.07019929,"past"
"22",1,"RCP45","Late","p.cool.grass","CSIRO-Mk3-6-0",70.80181863,3.48671567636729,71.230225,7.07479132,490.06819762,"past"
"23",1,"RCP45","Late","p.cool.grass","GFDL-ESM2G",67.98321153,3.60945040299382,67.092121,5.91296182,549.00060118,"past"
"24",1,"RCP45","Late","p.cool.grass","GFDL-ESM2M",71.76065661,3.86857184666136,71.8283085,5.5339798,469.64880002,"past"
"25",1,"RCP45","Late","p.cool.grass","HadGEM2-CC365",69.77173723,6.83531302721365,68.139301,7.34430677,444.9232007,"past"
"26",1,"RCP45","Late","p.cool.grass","HadGEM2-ES365",72.8338898,4.93096895726796,74.358307,8.12044599,440.1242996,"past"
"27",1,"RCP45","Late","p.cool.grass","inmcm4",67.98991515,3.15713563864445,67.705967,5.96417279,422.32989965,"past"
"28",1,"RCP45","Late","p.cool.grass","IPSL-CM5A-LR",69.32559233,4.83499350903416,69.4370115,7.25579591,425.40799989,"past"
"29",1,"RCP45","Late","p.cool.grass","IPSL-CM5A-MR",73.2437127,3.88996506674269,73.295418,7.3693076,432.50219996,"past"
"30",1,"RCP45","Late","p.cool.grass","MIROC-ESM",72.323336,4.12082000626315,71.853977,8.87435546,526.77650358,"past"
"31",1,"RCP45","Late","p.cool.grass","MIROC-ESM-CHEM",71.08793983,5.94381382458012,70.981674,8.67475441,524.52099853,"past"
"32",1,"RCP45","Late","p.cool.grass","MIROC5",70.62200866,4.42858572242547,69.642635,7.73309294,471.90870055,"past"
"33",1,"RCP45","Late","p.cool.grass","MRI-CGCM3",67.46118414,3.08329577907122,67.0402525,5.79391816,461.63559964,"past"
"34",1,"RCP45","Late","p.cool.grass","NorESM1-M",70.40945161,5.96811756190615,70.462242,7.32865287,476.76630095,"past"
"35",1,"RCP45","Late","p.forb","bcc-csm1-1",18.97746215,1.60127428233187,18.97781625,6.28278973,408.7581009,"past"
"36",1,"RCP45","Late","p.forb","CanESM2",18.939008355,1.5856705855685,18.787641,7.85425396,495.01490048,"past"
"37",1,"RCP45","Late","p.forb","CCSM4",19.36783932,1.54380373725779,19.35435475,7.09344419,450.19249971,"past"
"38",1,"RCP45","Late","p.forb","CNRM-CM5",18.576984765,1.69411914624479,18.43258875,6.90349517,498.07019929,"past"
"39",1,"RCP45","Late","p.forb","CSIRO-Mk3-6-0",18.922770285,1.32958676560746,19.061083,7.07479132,490.06819762,"past"
"40",1,"RCP45","Late","p.forb","GFDL-ESM2G",18.8478508,1.88173287075423,18.4312335,5.91296182,549.00060118,"past"
"41",1,"RCP45","Late","p.forb","GFDL-ESM2M",18.65262614,1.55316746525002,18.65231225,5.5339798,469.64880002,"past"
"42",1,"RCP45","Late","p.forb","HadGEM2-CC365",18.556444515,1.65413324621932,18.30241575,7.34430677,444.9232007,"past"
"43",1,"RCP45","Late","p.forb","HadGEM2-ES365",19.12175292,1.77797477572653,19.05659325,8.12044599,440.1242996,"past"
"44",1,"RCP45","Late","p.forb","inmcm4",19.038395495,1.49100602329873,18.846735,5.96417279,422.32989965,"past"
"45",1,"RCP45","Late","p.forb","IPSL-CM5A-LR",18.636312025,1.52758932308082,18.71305025,7.25579591,425.40799989,"past"
"46",1,"RCP45","Late","p.forb","IPSL-CM5A-MR",18.822747655,1.18237465427326,18.79000475,7.3693076,432.50219996,"past"
"47",1,"RCP45","Late","p.forb","MIROC-ESM",18.877154335,1.68742780388111,19.0456075,8.87435546,526.77650358,"past"
"48",1,"RCP45","Late","p.forb","MIROC-ESM-CHEM",18.742797495,2.11396087311444,18.25371925,8.67475441,524.52099853,"past"
"49",1,"RCP45","Late","p.forb","MIROC5",18.307268495,1.59843720986984,18.31093175,7.73309294,471.90870055,"past"
"50",1,"RCP45","Late","p.forb","MRI-CGCM3",18.678426905,1.45715281532764,18.610459,5.79391816,461.63559964,"past"
"51",1,"RCP45","Late","p.forb","NorESM1-M",19.082600435,1.55562439943285,18.814871,7.32865287,476.76630095,"past"
"52",1,"RCP45","Late","p.warm.grass","bcc-csm1-1",40.98194243,1.55956837426103,40.862944,6.28278973,408.7581009,"past"
"53",1,"RCP45","Late","p.warm.grass","CanESM2",41.70931132,3.52160419204489,41.65473,7.85425396,495.01490048,"past"
"54",1,"RCP45","Late","p.warm.grass","CCSM4",43.10478763,3.62755798853953,42.884735,7.09344419,450.19249971,"past"
"55",1,"RCP45","Late","p.warm.grass","CNRM-CM5",42.43759091,3.49253542664747,42.722595,6.90349517,498.07019929,"past"
"56",1,"RCP45","Late","p.warm.grass","CSIRO-Mk3-6-0",43.9281029,2.40664005891664,43.6419295,7.07479132,490.06819762,"past"
"57",1,"RCP45","Late","p.warm.grass","GFDL-ESM2G",42.02216518,3.32978569119313,41.837141,5.91296182,549.00060118,"past"
"58",1,"RCP45","Late","p.warm.grass","GFDL-ESM2M",42.08107582,2.72407784721541,42.54389,5.5339798,469.64880002,"past"
"59",1,"RCP45","Late","p.warm.grass","HadGEM2-CC365",42.26947067,3.03533963930883,42.3603135,7.34430677,444.9232007,"past"
"60",1,"RCP45","Late","p.warm.grass","HadGEM2-ES365",40.28508454,1.85136845545766,40.223612,8.12044599,440.1242996,"past"
"61",1,"RCP45","Late","p.warm.grass","inmcm4",41.15723958,3.39121159382129,41.4875375,5.96417279,422.32989965,"past"
"62",1,"RCP45","Late","p.warm.grass","IPSL-CM5A-LR",41.96693655,2.73599187314656,42.5847875,7.25579591,425.40799989,"past"
"63",1,"RCP45","Late","p.warm.grass","IPSL-CM5A-MR",41.94670814,3.20466387995459,41.289812,7.3693076,432.50219996,"past"
"64",1,"RCP45","Late","p.warm.grass","MIROC-ESM",42.41576294,2.71516335553491,42.6424995,8.87435546,526.77650358,"past"
"65",1,"RCP45","Late","p.warm.grass","MIROC-ESM-CHEM",42.28940167,3.56013646045326,41.7015075,8.67475441,524.52099853,"past"
"66",1,"RCP45","Late","p.warm.grass","MIROC5",42.48811139,3.02047010572735,43.110823,7.73309294,471.90870055,"past"
"67",1,"RCP45","Late","p.warm.grass","MRI-CGCM3",41.52978363,3.62030713541527,40.7775915,5.79391816,461.63559964,"past"
"68",1,"RCP45","Late","p.warm.grass","NorESM1-M",42.84267547,2.46040087027038,42.90209,7.32865287,476.76630095,"past"
"69",1,"RCP45","Late","sagebrush","bcc-csm1-1",580.43695892,55.0030407098899,574.51944,6.28278973,408.7581009,"past"
"70",1,"RCP45","Late","sagebrush","CanESM2",800.36291013,71.592841388111,803.465057,7.85425396,495.01490048,"past"
"71",1,"RCP45","Late","sagebrush","CCSM4",700.17844974,67.5456604196759,707.9142765,7.09344419,450.19249971,"past"
"72",1,"RCP45","Late","sagebrush","CNRM-CM5",786.78100042,69.4519025401089,803.335022,6.90349517,498.07019929,"past"
"73",1,"RCP45","Late","sagebrush","CSIRO-Mk3-6-0",789.18509336,78.9651527181711,764.5183105,7.07479132,490.06819762,"past"
"74",1,"RCP45","Late","sagebrush","GFDL-ESM2G",857.48617308,91.5569992801589,823.936615,5.91296182,549.00060118,"past"
"75",1,"RCP45","Late","sagebrush","GFDL-ESM2M",722.07948794,55.2866583697265,733.2470705,5.5339798,469.64880002,"past"
"76",1,"RCP45","Late","sagebrush","HadGEM2-CC365",698.24877204,60.5289307317143,700.421692,7.34430677,444.9232007,"past"
"77",1,"RCP45","Late","sagebrush","HadGEM2-ES365",689.70240595,37.2588148692169,690.4009705,8.12044599,440.1242996,"past"
"78",1,"RCP45","Late","sagebrush","inmcm4",608.04397465,55.3722642728942,610.089081,5.96417279,422.32989965,"past"
"79",1,"RCP45","Late","sagebrush","IPSL-CM5A-LR",674.28554533,80.8131049758223,674.2616575,7.25579591,425.40799989,"past"
"80",1,"RCP45","Late","sagebrush","IPSL-CM5A-MR",665.73166139,66.8493140768875,656.313385,7.3693076,432.50219996,"past"
"81",1,"RCP45","Late","sagebrush","MIROC-ESM",830.00858886,43.4873503052848,821.8343815,8.87435546,526.77650358,"past"
"82",1,"RCP45","Late","sagebrush","MIROC-ESM-CHEM",840.84518983,62.4536972490789,831.817749,8.67475441,524.52099853,"past"
"83",1,"RCP45","Late","sagebrush","MIROC5",738.28152771,40.4558911491132,735.9971925,7.73309294,471.90870055,"past"
"84",1,"RCP45","Late","sagebrush","MRI-CGCM3",739.15583559,59.7091155704449,729.251221,5.79391816,461.63559964,"past"
"85",1,"RCP45","Late","sagebrush","NorESM1-M",760.53409059,66.388794439157,766.743225,7.32865287,476.76630095,"past"
"86",1,"RCP45","Late","shrub","bcc-csm1-1",8.0588283,1.08587372831961,8.0528845,6.28278973,408.7581009,"past"
"87",1,"RCP45","Late","shrub","CanESM2",8.49661168,0.838859750501809,8.4942005,7.85425396,495.01490048,"past"
"88",1,"RCP45","Late","shrub","CCSM4",8.51102383,1.0471936701981,8.502925,7.09344419,450.19249971,"past"
"89",1,"RCP45","Late","shrub","CNRM-CM5",8.31076023,1.00714568899594,8.1288935,6.90349517,498.07019929,"past"
"90",1,"RCP45","Late","shrub","CSIRO-Mk3-6-0",8.34236854,0.820567961655636,8.201877,7.07479132,490.06819762,"past"
"91",1,"RCP45","Late","shrub","GFDL-ESM2G",8.65191354,1.18050840260131,8.4741375,5.91296182,549.00060118,"past"
"92",1,"RCP45","Late","shrub","GFDL-ESM2M",8.68794913,0.838225601929368,8.786355,5.5339798,469.64880002,"past"
"93",1,"RCP45","Late","shrub","HadGEM2-CC365",8.2078307,0.795123039052886,8.2365685,7.34430677,444.9232007,"past"
"94",1,"RCP45","Late","shrub","HadGEM2-ES365",8.20727141,0.985764779645826,8.207055,8.12044599,440.1242996,"past"
"95",1,"RCP45","Late","shrub","inmcm4",8.55001629,0.999832767277359,8.413916,5.96417279,422.32989965,"past"
"96",1,"RCP45","Late","shrub","IPSL-CM5A-LR",8.41868979,0.951443665186479,8.640282,7.25579591,425.40799989,"past"
"97",1,"RCP45","Late","shrub","IPSL-CM5A-MR",8.47209244,0.785128380549145,8.4494505,7.3693076,432.50219996,"past"
"98",1,"RCP45","Late","shrub","MIROC-ESM",8.37867989,0.691615617319476,8.4213335,8.87435546,526.77650358,"past"
"99",1,"RCP45","Late","shrub","MIROC-ESM-CHEM",8.65735574,1.01178962814772,8.5700485,8.67475441,524.52099853,"past"
"100",1,"RCP45","Late","shrub","MIROC5",9.73196084,0.6871835009344,9.731661,7.73309294,471.90870055,"past"
"101",1,"RCP45","Late","shrub","MRI-CGCM3",8.06012784,1.00293698890579,8.080556,5.79391816,461.63559964,"past"
"102",1,"RCP45","Late","shrub","NorESM1-M",8.40943269,0.852377551784404,8.4514575,7.32865287,476.76630095,"past"
"103",1,"RCP45","Mid","a.forb","bcc-csm1-1",6.463313265,0.192968119321699,6.468045,5.92669806,399.15459963,"past"
"104",1,"RCP45","Mid","a.forb","CanESM2",6.45761928,0.203872439403434,6.404114,6.68210004,489.81960142,"past"
"105",1,"RCP45","Mid","a.forb","CCSM4",6.50987907,0.217864701061189,6.5389845,6.20446406,440.18309995,"past"
"106",1,"RCP45","Mid","a.forb","CNRM-CM5",6.441681755,0.140616884315531,6.43485975,5.5776933,510.59809876,"past"
"107",1,"RCP45","Mid","a.forb","CSIRO-Mk3-6-0",6.480389685,0.185919153854283,6.47107175,6.0206289,496.9072989,"past"
"108",1,"RCP45","Mid","a.forb","GFDL-ESM2G",6.43367584,0.178627130342905,6.4329865,5.63146784,459.96809842,"past"
"109",1,"RCP45","Mid","a.forb","GFDL-ESM2M",6.55483308,0.135577522146494,6.56713575,5.04309829,475.84109829,"past"
"110",1,"RCP45","Mid","a.forb","HadGEM2-CC365",6.51380789,0.151144904326687,6.53950575,6.26329392,451.39650025,"past"
"111",1,"RCP45","Mid","a.forb","HadGEM2-ES365",6.49468727,0.113582337572835,6.46374225,6.60931559,428.59969996,"past"
"112",1,"RCP45","Mid","a.forb","inmcm4",5.448073895,0.15826969666872,5.4497895,5.00955612,416.10470032,"past"
"113",1,"RCP45","Mid","a.forb","IPSL-CM5A-LR",6.12748521,0.225021878701751,6.112838,6.42832195,427.18350036,"past"
"114",1,"RCP45","Mid","a.forb","IPSL-CM5A-MR",6.44743459,0.169870971211174,6.4237,6.33730076,431.24570073,"past"
"115",1,"RCP45","Mid","a.forb","MIROC-ESM",6.32818172,0.129904358146105,6.33246325,7.3243728,504.03010041,"past"
"116",1,"RCP45","Mid","a.forb","MIROC-ESM-CHEM",6.35741455,0.120439714301976,6.35188025,7.11260501,516.13780005,"past"
"117",1,"RCP45","Mid","a.forb","MIROC5",6.486768475,0.196733478312346,6.42834925,6.75157764,497.04380069,"past"
"118",1,"RCP45","Mid","a.forb","MRI-CGCM3",6.21666052,0.176560601926972,6.20325125,4.95883288,440.32730009,"past"
"119",1,"RCP45","Mid","a.forb","NorESM1-M",6.71613362,0.246536196743041,6.732565,6.09155596,459.65969911,"past"
"120",1,"RCP45","Mid","p.cool.grass","bcc-csm1-1",69.21197322,3.77542602457032,69.1379815,5.92669806,399.15459963,"past"
"121",1,"RCP45","Mid","p.cool.grass","CanESM2",73.10562457,3.97109631780422,72.366024,6.68210004,489.81960142,"past"
"122",1,"RCP45","Mid","p.cool.grass","CCSM4",70.49328178,5.12091085223341,70.645817,6.20446406,440.18309995,"past"
"123",1,"RCP45","Mid","p.cool.grass","CNRM-CM5",71.80805274,3.69068072837056,71.1692695,5.5776933,510.59809876,"past"
"124",1,"RCP45","Mid","p.cool.grass","CSIRO-Mk3-6-0",70.17791856,3.38705798218204,70.817131,6.0206289,496.9072989,"past"
"125",1,"RCP45","Mid","p.cool.grass","GFDL-ESM2G",67.64686695,5.53811720831606,66.241596,5.63146784,459.96809842,"past"
"126",1,"RCP45","Mid","p.cool.grass","GFDL-ESM2M",69.89677911,5.79817898048671,71.2776645,5.04309829,475.84109829,"past"
"127",1,"RCP45","Mid","p.cool.grass","HadGEM2-CC365",70.40694686,3.70840874217955,70.24395,6.26329392,451.39650025,"past"
"128",1,"RCP45","Mid","p.cool.grass","HadGEM2-ES365",70.19423755,3.22234262612755,70.434925,6.60931559,428.59969996,"past"
"129",1,"RCP45","Mid","p.cool.grass","inmcm4",69.51944208,4.08728618544031,69.20676,5.00955612,416.10470032,"past"
"130",1,"RCP45","Mid","p.cool.grass","IPSL-CM5A-LR",76.66391894,4.21693903575395,76.413719,6.42832195,427.18350036,"past"
"131",1,"RCP45","Mid","p.cool.grass","IPSL-CM5A-MR",72.81922526,4.50543382525115,72.101093,6.33730076,431.24570073,"past"
"132",1,"RCP45","Mid","p.cool.grass","MIROC-ESM",70.31715759,6.65634208873528,70.842827,7.3243728,504.03010041,"past"
"133",1,"RCP45","Mid","p.cool.grass","MIROC-ESM-CHEM",71.03039819,7.5403941376447,70.306854,7.11260501,516.13780005,"past"
"134",1,"RCP45","Mid","p.cool.grass","MIROC5",74.00561357,4.97156946333782,73.760101,6.75157764,497.04380069,"past"
"135",1,"RCP45","Mid","p.cool.grass","MRI-CGCM3",70.28892699,5.89499267255325,69.3791695,4.95883288,440.32730009,"past"
"136",1,"RCP45","Mid","p.cool.grass","NorESM1-M",69.67931627,5.45641974943949,70.9392815,6.09155596,459.65969911,"past"
"137",1,"RCP45","Mid","p.forb","bcc-csm1-1",18.623544835,1.54269234239536,18.709003,5.92669806,399.15459963,"past"
"138",1,"RCP45","Mid","p.forb","CanESM2",19.081272695,1.64048050964604,18.890591,6.68210004,489.81960142,"past"
"139",1,"RCP45","Mid","p.forb","CCSM4",18.636922245,1.27520736809216,18.54551475,6.20446406,440.18309995,"past"
"140",1,"RCP45","Mid","p.forb","CNRM-CM5",18.97580357,1.3612899199959,19.2029315,5.5776933,510.59809876,"past"
"141",1,"RCP45","Mid","p.forb","CSIRO-Mk3-6-0",18.756013955,1.48839939090691,18.6882185,6.0206289,496.9072989,"past"
"142",1,"RCP45","Mid","p.forb","GFDL-ESM2G",18.780301565,1.95425222738965,18.55481475,5.63146784,459.96809842,"past"
"143",1,"RCP45","Mid","p.forb","GFDL-ESM2M",18.901342795,2.15182203453215,18.7224315,5.04309829,475.84109829,"past"
"144",1,"RCP45","Mid","p.forb","HadGEM2-CC365",19.438217325,1.94539648831477,19.31794975,6.26329392,451.39650025,"past"
"145",1,"RCP45","Mid","p.forb","HadGEM2-ES365",19.211192505,1.73000140136687,19.11966875,6.60931559,428.59969996,"past"
"146",1,"RCP45","Mid","p.forb","inmcm4",18.393398185,1.94901107568607,18.6965625,5.00955612,416.10470032,"past"
"147",1,"RCP45","Mid","p.forb","IPSL-CM5A-LR",18.585742545,1.67343486878112,18.6730065,6.42832195,427.18350036,"past"
"148",1,"RCP45","Mid","p.forb","IPSL-CM5A-MR",18.581404215,1.50410550373304,18.610758,6.33730076,431.24570073,"past"
"149",1,"RCP45","Mid","p.forb","MIROC-ESM",18.04501262,1.53969391745025,18.00091925,7.3243728,504.03010041,"past"
"150",1,"RCP45","Mid","p.forb","MIROC-ESM-CHEM",18.95024201,1.38181172101593,18.9959415,7.11260501,516.13780005,"past"
"151",1,"RCP45","Mid","p.forb","MIROC5",18.542007855,1.52071930908666,18.51320775,6.75157764,497.04380069,"past"
"152",1,"RCP45","Mid","p.forb","MRI-CGCM3",17.949948885,1.48923721469425,17.989091,4.95883288,440.32730009,"past"
"153",1,"RCP45","Mid","p.forb","NorESM1-M",19.054038765,1.56239805739893,18.89806125,6.09155596,459.65969911,"past"
"154",1,"RCP45","Mid","p.warm.grass","bcc-csm1-1",39.65750174,3.47910809465801,39.712242,5.92669806,399.15459963,"past"
"155",1,"RCP45","Mid","p.warm.grass","CanESM2",44.50060771,4.00485636525004,43.935726,6.68210004,489.81960142,"past"
"156",1,"RCP45","Mid","p.warm.grass","CCSM4",42.15940781,3.12070114102494,42.2346685,6.20446406,440.18309995,"past"
"157",1,"RCP45","Mid","p.warm.grass","CNRM-CM5",42.87536624,2.5884266283755,43.2839415,5.5776933,510.59809876,"past"
"158",1,"RCP45","Mid","p.warm.grass","CSIRO-Mk3-6-0",42.20444134,2.98623394978537,41.9573305,6.0206289,496.9072989,"past"
"159",1,"RCP45","Mid","p.warm.grass","GFDL-ESM2G",42.80117526,3.75394205986449,42.7310925,5.63146784,459.96809842,"past"
"160",1,"RCP45","Mid","p.warm.grass","GFDL-ESM2M",43.60945422,3.91348979573288,42.7607615,5.04309829,475.84109829,"past"
"161",1,"RCP45","Mid","p.warm.grass","HadGEM2-CC365",42.58710528,2.68783578845556,42.563768,6.26329392,451.39650025,"past"
"162",1,"RCP45","Mid","p.warm.grass","HadGEM2-ES365",42.49107989,2.62189925626173,41.9498045,6.60931559,428.59969996,"past"
"163",1,"RCP45","Mid","p.warm.grass","inmcm4",42.00756867,3.97793579298025,41.2400245,5.00955612,416.10470032,"past"
"164",1,"RCP45","Mid","p.warm.grass","IPSL-CM5A-LR",39.99830441,1.48109317867017,40.10804,6.42832195,427.18350036,"past"
"165",1,"RCP45","Mid","p.warm.grass","IPSL-CM5A-MR",41.55797004,2.53758394547628,41.5567285,6.33730076,431.24570073,"past"
"166",1,"RCP45","Mid","p.warm.grass","MIROC-ESM",40.41108774,2.41606053164795,40.340193,7.3243728,504.03010041,"past"
"167",1,"RCP45","Mid","p.warm.grass","MIROC-ESM-CHEM",43.29613405,2.6721578329964,43.086712,7.11260501,516.13780005,"past"
"168",1,"RCP45","Mid","p.warm.grass","MIROC5",44.1164873,3.14197540089519,44.095833,6.75157764,497.04380069,"past"
"169",1,"RCP45","Mid","p.warm.grass","MRI-CGCM3",41.93310007,2.42000186790604,42.3430805,4.95883288,440.32730009,"past"
"170",1,"RCP45","Mid","p.warm.grass","NorESM1-M",42.78027906,2.49502322895163,42.114725,6.09155596,459.65969911,"past"
"171",1,"RCP45","Mid","sagebrush","bcc-csm1-1",620.85905946,37.0456789340728,625.584991,5.92669806,399.15459963,"past"
"172",1,"RCP45","Mid","sagebrush","CanESM2",770.49774109,78.9972012622077,770.024475,6.68210004,489.81960142,"past"
"173",1,"RCP45","Mid","sagebrush","CCSM4",666.1979315,63.9581019495011,658.256622,6.20446406,440.18309995,"past"
"174",1,"RCP45","Mid","sagebrush","CNRM-CM5",811.18389407,68.8848870396294,790.173218,5.5776933,510.59809876,"past"
"175",1,"RCP45","Mid","sagebrush","CSIRO-Mk3-6-0",783.94656069,59.1367324426901,776.799194,6.0206289,496.9072989,"past"
"176",1,"RCP45","Mid","sagebrush","GFDL-ESM2G",741.41617372,82.6225318616246,740.2710875,5.63146784,459.96809842,"past"
"177",1,"RCP45","Mid","sagebrush","GFDL-ESM2M",725.38983457,54.1497591412267,736.340942,5.04309829,475.84109829,"past"
"178",1,"RCP45","Mid","sagebrush","HadGEM2-CC365",673.96946229,45.9776787897358,668.429077,6.26329392,451.39650025,"past"
"179",1,"RCP45","Mid","sagebrush","HadGEM2-ES365",647.99106203,48.0101019943457,643.2439575,6.60931559,428.59969996,"past"
"180",1,"RCP45","Mid","sagebrush","inmcm4",626.54885223,63.2253105731173,644.980194,5.00955612,416.10470032,"past"
"181",1,"RCP45","Mid","sagebrush","IPSL-CM5A-LR",669.77851442,64.7149264346984,672.610443,6.42832195,427.18350036,"past"
"182",1,"RCP45","Mid","sagebrush","IPSL-CM5A-MR",676.16261292,60.3789852392011,675.4584045,6.33730076,431.24570073,"past"
"183",1,"RCP45","Mid","sagebrush","MIROC-ESM",840.42132447,33.8936506224557,844.1170655,7.3243728,504.03010041,"past"
"184",1,"RCP45","Mid","sagebrush","MIROC-ESM-CHEM",840.16007993,39.7878649581128,835.612457,7.11260501,516.13780005,"past"
"185",1,"RCP45","Mid","sagebrush","MIROC5",780.94530942,67.023864140408,785.2670285,6.75157764,497.04380069,"past"
"186",1,"RCP45","Mid","sagebrush","MRI-CGCM3",675.38799744,48.0504054440414,669.4616695,4.95883288,440.32730009,"past"
"187",1,"RCP45","Mid","sagebrush","NorESM1-M",702.33567688,85.3246457052034,685.947113,6.09155596,459.65969911,"past"
"188",1,"RCP45","Mid","shrub","bcc-csm1-1",8.49427868,0.908876999439861,8.3246155,5.92669806,399.15459963,"past"
"189",1,"RCP45","Mid","shrub","CanESM2",8.62175229,0.937597840905165,8.589295,6.68210004,489.81960142,"past"
"190",1,"RCP45","Mid","shrub","CCSM4",8.55345387,0.817257241467238,8.5592255,6.20446406,440.18309995,"past"
"191",1,"RCP45","Mid","shrub","CNRM-CM5",7.93961112,0.919378251385738,7.820225,5.5776933,510.59809876,"past"
"192",1,"RCP45","Mid","shrub","CSIRO-Mk3-6-0",8.89569994,1.04415540129217,8.9758165,6.0206289,496.9072989,"past"
"193",1,"RCP45","Mid","shrub","GFDL-ESM2G",8.46841819,1.07693303203976,8.3775065,5.63146784,459.96809842,"past"
"194",1,"RCP45","Mid","shrub","GFDL-ESM2M",9.04621838,0.90701180967472,8.9231055,5.04309829,475.84109829,"past"
"195",1,"RCP45","Mid","shrub","HadGEM2-CC365",8.53188193,0.944259126346755,8.476889,6.26329392,451.39650025,"past"
"196",1,"RCP45","Mid","shrub","HadGEM2-ES365",8.49549547,0.913741250838788,8.312611,6.60931559,428.59969996,"past"
"197",1,"RCP45","Mid","shrub","inmcm4",8.63450315,1.0355026653635,8.5554905,5.00955612,416.10470032,"past"
"198",1,"RCP45","Mid","shrub","IPSL-CM5A-LR",8.70802481,0.674641081362927,8.700063,6.42832195,427.18350036,"past"
"199",1,"RCP45","Mid","shrub","IPSL-CM5A-MR",8.75752496,0.845334871619047,8.844291,6.33730076,431.24570073,"past"
"200",1,"RCP45","Mid","shrub","MIROC-ESM",8.34936838,1.08160484633795,8.4183485,7.3243728,504.03010041,"past"
"201",1,"RCP45","Mid","shrub","MIROC-ESM-CHEM",8.15984941,0.947652207328175,8.2435035,7.11260501,516.13780005,"past"
"202",1,"RCP45","Mid","shrub","MIROC5",8.34629405,0.929916970109788,8.3277885,6.75157764,497.04380069,"past"
"203",1,"RCP45","Mid","shrub","MRI-CGCM3",8.86782264,0.887150585437951,8.94739,4.95883288,440.32730009,"past"
"204",1,"RCP45","Mid","shrub","NorESM1-M",8.42975218,1.0558603232465,8.3698795,6.09155596,459.65969911,"past"
"205",1,"RCP85","Late","a.forb","bcc-csm1-1",6.093834935,0.0949747051260072,6.09183275,9.01772689,379.91070007,"past"
"206",1,"RCP85","Late","a.forb","CanESM2",6.14643461,0.230034720029864,6.14303925,10.2038137,610.95949953,"past"
"207",1,"RCP85","Late","a.forb","CCSM4",6.29786646,0.18603923562398,6.2540495,9.58700351,435.01310003,"past"
"208",1,"RCP85","Late","a.forb","CNRM-CM5",6.18455656,0.136720600142871,6.18081275,9.06029818,534.29000365,"past"
"209",1,"RCP85","Late","a.forb","CSIRO-Mk3-6-0",6.697449695,0.169295844714168,6.66203975,9.28314093,525.77700254,"past"
"210",1,"RCP85","Late","a.forb","GFDL-ESM2G",5.54436369,0.149896949219449,5.5490965,8.2814395,605.8136951,"past"
"211",1,"RCP85","Late","a.forb","GFDL-ESM2M",5.57123167,0.128481414785746,5.5473285,7.86998168,521.23420074,"past"
